Time,Temperature
08:26:32,46
Time,Temperature
09:01:05,47
Time,Temperature
09:01:13,46
Time,Temperature
09:01:14,47
Time,Temperature
09:01:15,47
Time,Temperature
09:01:15,47
Time,Temperature
09:01:16,47
Time,Temperature
09:01:25,46
Time,Temperature
09:01:26,47
Time,Temperature
09:01:27,47
Time,Temperature
09:01:27,47
Time,Temperature
09:01:28,47
Time,Temperature
09:01:42,47
Time,Temperature
09:01:43,46
Time,Temperature
09:01:44,47
Time,Temperature
09:01:45,47
Time,Temperature
09:01:45,47
Time,Temperature
09:01:46,47
Time,Temperature
09:03:48,46
Time,Temperature
09:03:50,47
Time,Temperature
09:03:51,47
Time,Temperature
09:03:51,47
Time,Temperature
09:13:47,46
Time,Temperature
09:14:41,46
Time,Temperature
09:14:59,46
Time,Temperature
09:15:07,46
Time,Temperature
09:15:16,46
Time,Temperature
09:15:54,46
Time,Temperature
09:15:55,47
Time,Temperature
09:15:56,47
Time,Temperature
09:15:56,47
Time,Temperature
09:15:57,47
Time,Temperature
09:16:04,46
Time,Temperature
09:16:13,47
Time,Temperature
09:16:14,47
Time,Temperature
09:16:28,46
Time,Temperature
09:16:38,46
Time,Temperature
09:16:50,46
Time,Temperature
09:17:07,46
Time,Temperature
09:43:02,46
Time,Temperature
09:43:04,46
Time,Temperature
09:43:15,46
Time,Temperature
09:43:16,46
Time,Temperature
09:43:17,46
Time,Temperature
09:43:18,47
Time,Temperature
09:43:18,46
Time,Temperature
09:43:18,47
Time,Temperature
09:43:18,47
Time,Temperature
09:43:19,47
Time,Temperature
09:43:42,46
Time,Temperature
09:43:43,46
Time,Temperature
09:43:43,47
Time,Temperature
09:43:43,47
Time,Temperature
09:43:52,46
Time,Temperature
09:43:53,46
Time,Temperature
09:43:53,47
Time,Temperature
09:43:54,47
Time,Temperature
09:44:07,46
Time,Temperature
09:44:08,47
Time,Temperature
09:44:08,47
Time,Temperature
09:44:09,47
Time,Temperature
09:44:45,46
Time,Temperature
09:44:46,47
Time,Temperature
09:44:46,47
Time,Temperature
09:44:47,47
Time,Temperature
09:44:47,47
Time,Temperature
09:44:57,46
Time,Temperature
09:44:57,47
Time,Temperature
09:44:58,47
Time,Temperature
10:19:08,46
Time,Temperature
10:19:41,46
Time,Temperature
10:19:42,47
Time,Temperature
10:19:43,47
Time,Temperature
10:19:43,47
Time,Temperature
10:19:44,47
Time,Temperature
10:20:13,47
Time,Temperature
10:20:14,47
Time,Temperature
10:20:14,47
Time,Temperature
10:20:15,47
Time,Temperature
10:20:15,47
Time,Temperature
10:20:32,46
Time,Temperature
10:20:33,47
Time,Temperature
10:20:33,47
Time,Temperature
10:20:34,47
Time,Temperature
10:20:42,46
Time,Temperature
10:20:42,47
Time,Temperature
10:20:43,47
Time,Temperature
10:20:55,46
Time,Temperature
10:20:56,47
Time,Temperature
10:21:19,46
Time,Temperature
10:21:20,46
Time,Temperature
10:21:36,47
Time,Temperature
10:21:36,47
Time,Temperature
10:21:37,47
Time,Temperature
10:21:37,47
Time,Temperature
10:22:09,46
Time,Temperature
10:22:10,47
Time,Temperature
10:22:11,47
Time,Temperature
10:22:12,47
Time,Temperature
10:22:42,46
Time,Temperature
10:26:41,46
